"Id","Success","Created","Error"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '21/07/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '21/07/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '13/01/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '13/01/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '11/06/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '28/03/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '28/03/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '28/03/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '20/04/23' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '31/07/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '31/07/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '31/07/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '10/02/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '10/02/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '10/02/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '10/02/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
